Name of professor,Designation,Number of Journal Publications,Number of Conference Publications,Number of Publications (Total),Books/Chapters (Count),Patents (Count),Projects (Count),Citations,H index
Dr Jagdeep Kaur,Assistant Professor (Grade-II),10,13,27,3,0,0,54,4
Dr Pranjal Kumar,Assistant Professor (Grade-II),6,0,13,2,0,1,510,8
Dr Prashant Shukla,Assistant Professor (Grade-II),12,6,18,0,0,0,98,5
Dr Kuldeep Kumar,Assistant Professor,26,26,62,9,0,0,289,8
Dr Prashant Kumar,Assistant Professor (Grade-II),13,17,33,2,3,0,139,7
Dr KUNWAR PAL,Assistant Professor,16,9,28,2,1,0,117,7
Dr Avtar Singh,Assistant Professor,13,11,33,7,1,1,88,6
Dr Amrit Lal Sangal,Professor,44,42,117,5,2,0,1986,17
Dr Nagendra Pratap Singh,Assistant Professor (Grade-I),23,25,60,10,0,0,670,14
Dr Renu Dhir,Associate Professor,38,35,84,7,0,0,671,14
Mr Deepak Kumar Gupta,Associate Professor,9,12,21,0,0,0,49,5
Dr Aruna Malik,Assistant Professor (Grade-II),50,30,88,5,2,0,1046,19
Dr Rajneesh Rani,Associate Professor,59,42,112,9,0,0,668,14
Dr Krishna Pal Sharma,Assistant Professor,28,23,56,5,0,0,3,0
Dr Harsh Kumar Verma,Professor,183,85,290,10,0,2,2500,28
Dr Shefali Arora Chouhan,Assistant Professor (Grade-II),12,10,29,5,1,0,237,9
Dr Armaan Garg,Assistant Professor (Grade-II),5,8,16,2,2,0,38,4
Dr Amritpal Singh,Assistant Professor (Grade-II),14,17,35,4,4,0,119,6
Dr Muktesh Gupta,Assistant Professor (Grade-II),7,12,20,0,0,0,172,8
Dr Banalaxmi Brahma,Assistant Professor (Grade-II),7,7,14,0,0,0,160,4
Dr Himanshu Verma,Assistant Professor (Grade-II),5,13,20,1,0,0,164,6
Dr Swarnima Singh Gautam,Assistant Professor,2,2,5,0,0,0,62,4
Dr Samayveer Singh,Assistant Professor,84,53,163,6,2,0,1945,25
Dr LALATENDU BEHERA,Assistant Professor,3,6,9,0,1,0,42,4
Mr Rahul Aggarwal,Assistant Professor,0,0,0,0,0,0,0,0
Dr Madhurima Buragohain,Assistant Professor (Grade-II),3,6,11,2,0,0,28,4
Dr Urvashi Bansal,Assistant Professor (Grade-I),27,6,48,4,21,2,103,7
Dr Manoj Kumar Somesula,Assistant Professor,16,1,18,1,0,0,188,8
Dr SHVETA MAHAJAN,Assistant Professor,4,15,21,0,0,1,141,3
Dr Sumit Kumar,Assistant Professor (Grade-II),0,0,0,0,0,0,0,0
